City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Den Helder,NL,2021-04-06 20:23:02,52.9599,4.7593,37.99,60,20,19.57
206,Chishan,TW,2021-04-06 20:23:02,22.6392,120.3565,73.4,78,75,4.61
207,Van,TR,2021-04-06 20:23:02,38.4924,43.3831,42.8,65,40,2.3
208,Quthing,LS,2021-04-06 20:23:03,-30.4,27.7003,61.02,56,10,4.05
209,Vao,NC,2021-04-06 20:23:03,-22.6667,167.4833,75.52,65,92,15.99
210,Singapore,SG,2021-04-06 20:18:25,1.2897,103.8501,80.6,94,75,2.3
211,Glasgow,GB,2021-04-06 20:23:03,55.8652,-4.2576,35.6,55,17,9.22
212,Dawlatabad,AF,2021-04-06 20:23:04,36.4141,64.9053,56.84,46,3,3.09
213,Monastyrshchina,RU,2021-04-06 20:23:04,54.3496,31.838,35.19,67,100,3.33
214,East London,ZA,2021-04-06 20:23:04,-33.0153,27.9116,66.25,82,97,16.69
215,Maraba,BR,2021-04-06 20:23:05,-5.3686,-49.1178,91.4,55,20,5.75
216,Tura,IN,2021-04-06 20:23:05,25.5198,90.2201,75.81,21,51,4.59
217,Port Lincoln,AU,2021-04-06 20:23:05,-34.7333,135.8667,62.71,81,0,7.81
218,Port Elizabeth,ZA,2021-04-06 20:23:06,-33.918,25.5701,62.6,88,0,6.91
219,Henties Bay,NA,2021-04-06 20:23:06,-22.116,14.2845,64.8,77,0,9.55
220,Sereflikochisar,TR,2021-04-06 20:23:06,38.9393,33.5386,61.41,35,100,27.07
221,Zaysan,KZ,2021-04-06 20:23:07,47.4667,84.8667,41.29,81,39,4.61
222,Lata,PT,2021-04-06 20:23:07,40.1629,-8.3327,57.99,92,38,1.16
223,Kokopo,PG,2021-04-06 20:23:07,-4.352,152.2633,77.74,84,100,6.91
224,Naze,JP,2021-04-06 20:23:08,28.3667,129.4833,61.86,56,1,21.88
225,Tateyama,JP,2021-04-06 20:23:08,34.9833,139.8667,48.99,82,47,10.25
226,Bayangol,RU,2021-04-06 20:23:08,50.6977,103.4656,31.23,71,78,2.15
227,Port Hedland,AU,2021-04-06 20:23:09,-20.3167,118.5667,71.6,73,7,8.05
228,San Ignacio,BZ,2021-04-06 20:23:09,17.1561,-89.0714,89.6,48,40,6.69
229,Cururupu,BR,2021-04-06 20:23:09,-1.8283,-44.8683,83.57,65,47,5.46
230,Katsuura,JP,2021-04-06 20:23:09,35.1333,140.3,50.0,76,40,6.91
231,Amurzet,RU,2021-04-06 20:23:10,47.6967,131.0981,25.54,44,8,9.62
232,Egersund,NO,2021-04-06 20:23:10,58.4513,5.9997,33.01,95,68,14.23
233,Hutchinson,US,2021-04-06 20:23:10,38.0608,-97.9298,70.0,64,90,21.85
234,Fenoarivo Atsinanana,MG,2021-04-06 20:23:11,-17.3667,49.4167,76.89,89,96,4.74
235,Iqaluit,CA,2021-04-06 20:23:11,63.7506,-68.5145,14.0,92,75,5.75
236,Castleisland,IE,2021-04-06 20:23:12,52.2333,-9.4667,41.0,65,20,6.91
237,Bengkulu,ID,2021-04-06 20:23:12,-3.8004,102.2655,74.26,88,100,4.68
238,Hortobagy,HU,2021-04-06 20:23:12,47.5828,21.1511,37.4,81,0,1.14
239,Sawakin,SD,2021-04-06 20:23:13,19.1059,37.3321,78.73,77,2,2.59
240,Hannibal,US,2021-04-06 20:23:13,39.7084,-91.3585,80.6,28,40,11.5
241,Lagoa Vermelha,BR,2021-04-06 20:23:13,-28.2086,-51.5258,74.35,58,5,1.01
242,Fort Nelson,CA,2021-04-06 20:19:23,58.8053,-122.7002,28.4,74,90,8.05
243,Egvekinot,RU,2021-04-06 20:23:14,66.3167,-179.1667,-4.5,79,0,3.18
244,Kruisfontein,ZA,2021-04-06 20:23:14,-34.0033,24.7314,60.01,89,23,1.01
245,Grindavik,IS,2021-04-06 20:23:14,63.8424,-22.4338,26.6,59,0,5.75
246,Coihaique,CL,2021-04-06 20:18:19,-45.5752,-72.0662,59.0,67,75,8.05
247,Ostrovnoy,RU,2021-04-06 20:23:15,68.0531,39.5131,31.33,86,100,16.53
248,Makakilo City,US,2021-04-06 20:23:15,21.3469,-158.0858,77.0,50,1,12.66
249,Kavieng,PG,2021-04-06 20:23:15,-2.5744,150.7967,79.5,83,100,11.59
250,Ranong,TH,2021-04-06 20:23:16,9.9658,98.6348,77.86,87,100,2.3
251,Alyangula,AU,2021-04-06 20:23:16,-13.8483,136.4192,69.8,100,77,3.44
252,Lasa,IT,2021-04-06 20:23:16,46.6166,10.7002,42.8,58,0,4.61
253,Murbad,IN,2021-04-06 20:23:17,19.25,73.4,84.2,74,0,4.61
254,Khatanga,RU,2021-04-06 20:23:17,71.9667,102.5,-8.36,100,100,6.71
255,Ilulissat,GL,2021-04-06 20:23:17,69.2167,-51.1,21.2,79,90,6.91
256,Yulara,AU,2021-04-06 20:23:18,-25.2406,130.9889,62.6,51,2,5.75
257,Oranjemund,NA,2021-04-06 20:23:18,-28.55,16.4333,60.13,93,5,4.92
258,Taitung,TW,2021-04-06 20:23:18,22.7583,121.1444,68.16,83,91,9.95
259,Westport,US,2021-04-06 20:23:19,41.1415,-73.3579,66.2,26,1,18.41
260,Havoysund,NO,2021-04-06 20:23:19,70.9963,24.6622,32.0,86,90,18.41
261,Camalu,MX,2021-04-06 20:23:19,30.85,-116.0667,66.99,44,79,18.01
262,Kaeo,NZ,2021-04-06 20:23:20,-35.1,173.7833,57.99,96,100,3.0
263,Hit,IQ,2021-04-06 20:23:20,33.6416,42.8251,73.58,22,1,5.48
264,Poitiers,FR,2021-04-06 20:23:20,46.5833,0.3333,42.8,45,0,8.05
265,Qingdao,CN,2021-04-06 20:23:21,36.0986,120.3719,53.01,57,0,2.24
266,Loubomo,CG,2021-04-06 20:23:21,-4.1997,12.6739,73.4,94,100,3.36
267,Torrevieja,ES,2021-04-06 20:23:21,37.9787,-0.6822,69.01,46,31,1.99
268,Rio Gallegos,AR,2021-04-06 20:23:21,-51.6226,-69.2181,55.4,71,40,17.27
269,Bochov,CZ,2021-04-06 20:23:22,50.1487,13.0523,28.4,80,75,5.75
270,Souillac,MU,2021-04-06 20:23:22,-20.5167,57.5167,77.0,94,40,6.91
271,Izvestkovyy,RU,2021-04-06 20:23:23,48.9833,131.55,19.76,66,72,10.54
272,Nhulunbuy,AU,2021-04-06 20:23:23,-12.2333,136.7667,69.8,88,98,3.94
273,Zyryanka,RU,2021-04-06 20:23:23,65.75,150.85,-7.47,93,100,8.1
274,Vardo,NO,2021-04-06 20:23:24,70.3705,31.1107,33.8,69,75,21.85
275,Luganville,VU,2021-04-06 20:23:24,-15.5333,167.1667,79.59,81,75,9.13
276,Tigre,AR,2021-04-06 20:23:24,-34.426,-58.5796,78.8,73,0,10.36
277,Bitung,ID,2021-04-06 20:23:24,1.4451,125.1824,77.0,94,20,2.3
278,Wuhu,CN,2021-04-06 20:23:25,31.3366,118.3755,53.6,82,0,6.71
279,Corn Island,NI,2021-04-06 20:23:25,12.1694,-83.0418,80.49,71,100,9.44
280,Kirovskiy,RU,2021-04-06 20:23:25,45.0917,133.5136,31.69,72,5,3.76
281,Ulaangom,MN,2021-04-06 20:23:26,49.9811,92.0667,36.3,38,3,2.68
282,Porteirinha,BR,2021-04-06 20:23:26,-15.7433,-43.0283,80.08,52,100,8.97
283,Lewistown,US,2021-04-06 20:23:26,40.5992,-77.5714,75.2,33,20,9.22
284,Fukue,JP,2021-04-06 20:23:27,32.6881,128.8419,60.94,55,20,17.96
285,Iranshahr,IR,2021-04-06 20:23:27,27.2025,60.6848,71.6,8,0,4.61
286,Najran,SA,2021-04-06 20:23:27,17.4924,44.1277,71.6,21,8,1.81
287,Mungwi,ZM,2021-04-06 20:23:28,-10.1732,31.3694,61.66,97,40,5.61
288,Gamba,GA,2021-04-06 20:23:28,-2.65,10.0,77.88,90,95,6.73
289,Monteria,CO,2021-04-06 20:23:29,8.748,-75.8814,85.71,66,100,12.35
290,Namibe,AO,2021-04-06 20:23:29,-15.1961,12.1522,77.32,82,96,6.11
291,Otane,NZ,2021-04-06 20:23:29,-39.8833,176.6333,57.99,84,0,3.0
292,Ketchikan,US,2021-04-06 20:23:30,55.3422,-131.6461,37.4,93,75,17.27
293,Altay,CN,2021-04-06 20:23:30,47.8667,88.1167,40.14,38,32,7.67
294,Zelenyy Bor,RU,2021-04-06 20:23:30,53.6667,91.6667,37.4,75,0,2.24
295,Noormarkku,FI,2021-04-06 20:23:30,61.5927,21.8685,35.6,93,90,9.22
296,Cherskiy,RU,2021-04-06 20:23:31,68.75,161.3,-22.41,99,31,2.17
