City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1108,Mae Sai,20.4335,99.8762,79.0,88,20,1.45,TH,2021-04-11 19:52:01
1109,Chifeng,42.2683,118.9636,48.4,61,1,10.96,CN,2021-04-11 19:52:01
1110,Marsa Matruh,31.3525,27.2453,59.0,55,20,8.05,EG,2021-04-11 19:52:02
1111,Marawi,7.9986,124.2928,75.0,89,25,4.0,PH,2021-04-11 19:52:02
1112,Micheweni,-4.9667,39.8333,79.65,82,63,9.66,TZ,2021-04-11 19:52:03
1113,Mercedes,-34.6515,-59.4307,71.01,50,38,8.01,AR,2021-04-11 19:52:03
1114,Estelle,29.8458,-90.1067,79.0,41,75,6.91,US,2021-04-11 19:52:03
1115,Dzilam Gonzalez,21.2833,-88.9333,96.06,42,0,10.54,MX,2021-04-11 19:52:04
1116,Lima,-12.0432,-77.0282,77.0,61,0,6.91,PE,2021-04-11 19:48:19
1117,Moba,33.2288,105.0179,42.44,95,89,2.04,CN,2021-04-11 19:52:04
1118,Quang Ngai,15.1167,108.8,71.64,92,18,4.65,VN,2021-04-11 19:52:04
1119,Murmashi,68.8154,32.8115,33.8,75,40,6.71,RU,2021-04-11 19:52:05
1120,Chumikan,54.7183,135.315,18.14,66,3,17.54,RU,2021-04-11 19:52:05
1121,Vedea,43.7833,25.7833,46.99,47,1,1.01,RO,2021-04-11 19:52:06
1122,Ukiah,39.1502,-123.2078,72.0,37,1,3.78,US,2021-04-11 19:50:02
1123,Tevaitoa,-16.7833,-151.5,81.84,75,100,12.28,PF,2021-04-11 19:52:06
1124,Saint-Pierre,-21.3393,55.4781,77.0,78,0,6.91,RE,2021-04-11 19:47:34
1125,Cascais,38.6979,-9.4215,57.99,76,20,13.8,PT,2021-04-11 19:52:07
1126,Tateyama,34.9833,139.8667,53.6,76,20,6.91,JP,2021-04-11 19:52:07
1127,Aleksandrov Gay,50.147,48.5704,58.95,49,96,9.26,RU,2021-04-11 19:52:08
1128,Sungaipenuh,-2.0833,101.3833,64.36,96,100,0.81,ID,2021-04-11 19:52:08
1129,Mehamn,71.0357,27.8492,33.8,75,40,27.63,NO,2021-04-11 19:52:08
1130,Baherden,38.4362,57.4316,69.75,20,67,12.3,TM,2021-04-11 19:52:09
1131,George Town,5.4112,100.3354,81.0,89,20,3.83,MY,2021-04-11 19:52:09
1132,Azangaro,-14.9167,-70.2167,51.8,58,75,18.41,PE,2021-04-11 19:52:09
1133,Northam,51.0333,-4.2167,43.0,64,5,4.0,GB,2021-04-11 19:52:10
1134,Plettenberg Bay,-34.0527,23.3716,62.65,83,100,2.98,ZA,2021-04-11 19:52:10
1135,Esso,55.9333,158.7,8.83,80,100,3.69,RU,2021-04-11 19:52:11
1136,Noumea,-22.2763,166.4572,78.01,100,90,3.44,NC,2021-04-11 19:52:11
1137,North Platte,41.1239,-100.7654,57.2,38,1,23.02,US,2021-04-11 19:49:02
1138,Mastic Beach,40.7668,-72.8521,53.6,82,90,5.75,US,2021-04-11 19:52:11
1139,Goulburn,-34.75,149.7167,32.0,90,0,5.28,AU,2021-04-11 19:52:12
1140,Naica,27.85,-105.4833,84.16,7,100,4.54,MX,2021-04-11 19:52:12
1141,Shar,49.5886,81.0453,36.99,81,2,4.34,KZ,2021-04-11 19:52:12
1142,Haines Junction,60.7522,-137.5108,6.8,36,95,3.44,CA,2021-04-11 19:52:13
1143,Gallipoli,40.4103,26.6708,42.8,61,0,2.3,TR,2021-04-11 19:52:13
1144,Englehart,47.8169,-79.8664,75.2,35,1,17.27,CA,2021-04-11 19:52:13
1145,Nawabganj,24.5911,88.271,81.9,38,41,8.99,BD,2021-04-11 19:52:14
1146,Bathsheba,13.2167,-59.5167,80.6,65,20,13.8,BB,2021-04-11 19:52:14
1147,Shinpokh,34.3292,71.1782,68.0,60,75,6.91,PK,2021-04-11 19:52:14
1148,Nenjiang,49.1833,125.2167,34.0,38,100,18.54,CN,2021-04-11 19:52:15
1149,Coihaique,-45.5752,-72.0662,62.6,77,90,8.05,CL,2021-04-11 19:52:15
1150,Fort Nelson,58.8053,-122.7002,23.0,39,20,11.5,CA,2021-04-11 19:52:16
1151,Yenagoa,4.9247,6.2642,78.82,83,64,5.53,NG,2021-04-11 19:52:16
1152,Namibe,-15.1961,12.1522,80.47,69,53,5.41,AO,2021-04-11 19:52:16
1153,Dandong,40.1292,124.3947,49.17,58,100,3.96,CN,2021-04-11 19:52:17
1154,Port Hardy,50.6996,-127.4199,44.6,45,20,13.8,CA,2021-04-11 19:52:17
1155,Henties Bay,-22.116,14.2845,73.99,64,1,9.75,NA,2021-04-11 19:52:17
1156,Salisbury,51.0693,-1.7957,39.2,81,75,9.22,GB,2021-04-11 19:50:22
1157,Nacala,-14.5428,40.6728,75.47,88,100,6.64,MZ,2021-04-11 19:52:18
1158,Nara,34.6851,135.8049,53.01,63,85,3.67,JP,2021-04-11 19:49:12
1159,Ballina,-28.8667,153.5667,59.0,47,90,8.05,AU,2021-04-11 19:52:18
1160,Kaeo,-35.1,173.7833,64.0,97,84,2.95,NZ,2021-04-11 19:52:19
1161,Tambopata,-12.7333,-69.1833,87.8,66,40,5.75,PE,2021-04-11 19:52:19
1162,Chengde,40.9725,117.9361,45.86,68,89,2.21,CN,2021-04-11 19:52:19
1163,Lichuan,30.3,108.85,46.11,97,100,2.75,CN,2021-04-11 19:52:20
1164,Fontem,5.4685,9.8818,68.74,89,100,4.5,CM,2021-04-11 19:52:20
1165,Souillac,-20.5167,57.5167,78.8,89,75,10.36,MU,2021-04-11 19:52:20
1166,Lichtenburg,-26.152,26.1597,65.32,35,0,6.64,ZA,2021-04-11 19:52:21
1167,Ulladulla,-35.35,150.4667,50.0,50,6,13.8,AU,2021-04-11 19:52:21
1168,Itoman,26.1247,127.6694,69.8,68,40,10.36,JP,2021-04-11 19:52:22
1169,Millau,44.0833,2.9167,48.99,93,90,10.36,FR,2021-04-11 19:52:22
1170,Sao Miguel Do Araguaia,-13.275,-50.1628,84.16,60,100,2.89,BR,2021-04-11 19:52:22
1171,Zhigansk,66.7697,123.3711,-3.73,99,26,11.48,RU,2021-04-11 19:52:23
1172,Kavaratti,10.5669,72.642,83.25,66,3,3.69,IN,2021-04-11 19:54:59
1173,Kapaa,22.0752,-159.319,73.99,73,75,16.11,US,2021-04-11 19:59:34
1174,Thompson,55.7435,-97.8558,21.2,79,90,11.5,CA,2021-04-11 19:59:34
1175,New Norfolk,-42.7826,147.0587,48.0,75,100,1.01,AU,2021-04-11 19:59:34
1176,Cape Town,-33.9258,18.4232,66.0,88,20,12.66,ZA,2021-04-11 19:59:10
1177,Mataura,-46.1927,168.8643,46.99,97,78,1.99,NZ,2021-04-11 19:59:35
1178,Taybad,34.74,60.7756,66.47,23,36,7.61,IR,2021-04-11 19:59:35
1179,Sao Teotonio,37.5128,-8.7071,57.99,83,65,7.0,PT,2021-04-11 19:59:35
1180,Hilo,19.7297,-155.09,75.2,53,1,3.44,US,2021-04-11 19:59:36
1181,Portland,45.5234,-122.6762,55.0,46,20,3.44,US,2021-04-11 19:58:28
1182,Barrow,71.2906,-156.7887,-16.6,76,1,5.75,US,2021-04-11 19:55:02
1183,East London,-33.0153,27.9116,71.35,84,100,2.71,ZA,2021-04-11 19:59:36
1184,Gigmoto,13.7796,124.39,77.5,85,92,6.24,PH,2021-04-11 19:59:37
1185,Sao Felix Do Xingu,-6.6447,-51.995,83.88,69,99,4.14,BR,2021-04-11 19:59:37
1186,Sadiqabad,28.3062,70.1307,85.01,9,0,6.76,PK,2021-04-11 19:59:38
1187,Yellowknife,62.456,-114.3525,3.99,66,90,5.75,CA,2021-04-11 19:59:38
1188,Bethel,41.3712,-73.414,59.0,88,90,6.91,US,2021-04-11 19:59:38
1189,Punta Arenas,-53.15,-70.9167,57.2,47,0,11.5,CL,2021-04-11 19:59:39
1190,Busselton,-33.65,115.3333,61.0,98,100,11.52,AU,2021-04-11 19:58:28
1191,Atuona,-9.8,-139.0333,81.0,75,21,18.5,PF,2021-04-11 19:59:39
1192,Bredasdorp,-34.5322,20.0403,59.0,94,100,2.3,ZA,2021-04-11 19:59:40
1193,Labuhan,-6.8844,112.2051,78.03,85,30,3.87,ID,2021-04-11 19:59:40
1194,Kuusamo,65.9667,29.1833,33.8,69,0,10.36,FI,2021-04-11 19:59:40
1195,Butaritari,3.0707,172.7902,80.78,78,34,9.46,KI,2021-04-11 19:59:41
1196,Albany,42.6001,-73.9662,68.0,56,90,11.5,US,2021-04-11 19:58:32
1197,Waddan,29.1614,16.139,72.84,13,90,22.06,LY,2021-04-11 19:59:00
1198,Vaini,-21.2,-175.2,69.8,94,20,4.61,TO,2021-04-11 19:59:41
1199,Hermanus,-34.4187,19.2345,63.0,89,100,8.68,ZA,2021-04-11 19:59:42
1200,Qaqortoq,60.7167,-46.0333,53.6,24,1,8.05,GL,2021-04-11 19:59:42
1201,Avarua,-21.2078,-159.775,78.8,94,40,6.91,CK,2021-04-11 19:58:48
1202,Gorgan,36.8387,54.4348,55.4,100,90,1.1,IR,2021-04-11 19:59:43
1203,Olafsvik,64.8945,-23.7142,36.3,82,99,18.54,IS,2021-04-11 19:59:43
