City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
342,Bilma,18.6853,12.9164,82.8,9,9,9.8,NE,2021-04-11 22:33:10,clear sky
343,Gaoua,10.2992,-3.2508,90.64,27,56,4.72,BF,2021-04-11 22:33:10,broken clouds
344,Geraldton,-28.7667,114.6,73.4,88,75,19.57,AU,2021-04-11 22:31:15,broken clouds
345,Cao Bang,22.6667,106.25,70.48,96,99,4.09,VN,2021-04-11 22:33:11,overcast clouds
346,Santiago Del Estero,-27.7951,-64.2615,65.84,37,18,6.6,AR,2021-04-11 22:30:05,few clouds
347,Bousse,12.6606,-1.8922,87.8,25,0,2.3,BF,2021-04-11 22:33:11,clear sky
348,Mwanza,-2.5167,32.9,69.8,78,40,11.5,TZ,2021-04-11 22:33:11,light rain
349,Townsville,-19.25,146.8,78.8,47,20,10.36,AU,2021-04-11 22:33:12,few clouds
350,Kruisfontein,-34.0033,24.7314,57.99,89,80,1.99,ZA,2021-04-11 22:33:12,broken clouds
351,Swan Hill,-35.3378,143.5544,54.54,63,1,8.1,AU,2021-04-11 22:33:12,clear sky
352,Pacific Grove,36.6177,-121.9166,59.0,63,90,10.36,US,2021-04-11 22:33:13,overcast clouds
353,Grand Gaube,-20.0064,57.6608,78.01,82,87,3.0,MU,2021-04-11 22:33:13,light rain
354,Stepnyak,52.8339,70.7803,33.76,69,11,4.41,KZ,2021-04-11 22:33:14,few clouds
355,Murmashi,68.8154,32.8115,33.8,64,0,6.71,RU,2021-04-11 22:33:14,clear sky
356,Vallenar,-28.5708,-70.7581,69.48,48,0,3.87,CL,2021-04-11 22:33:14,clear sky
357,Raton,36.9034,-104.4391,75.2,4,1,11.5,US,2021-04-11 22:33:15,clear sky
358,Rurrenabaque,-14.4413,-67.5278,86.0,74,75,4.61,BO,2021-04-11 22:33:15,broken clouds
359,Dingle,10.9995,122.6711,78.31,80,92,5.93,PH,2021-04-11 22:33:15,overcast clouds
360,Kolaras,25.2333,77.6,78.91,32,18,6.53,IN,2021-04-11 22:33:16,few clouds
361,Tura,25.5198,90.2201,73.87,56,71,4.88,IN,2021-04-11 22:33:16,broken clouds
362,Anadyr,64.75,177.4833,0.0,78,20,17.9,RU,2021-04-11 22:33:17,snow
363,Farafangana,-22.8167,47.8333,74.7,83,87,4.05,MG,2021-04-11 22:33:17,overcast clouds
364,Harku,59.1325,24.3711,44.01,74,100,3.0,EE,2021-04-11 22:33:18,overcast clouds
365,Broken Hill,-31.95,141.4333,46.4,61,19,2.3,AU,2021-04-11 22:33:18,few clouds
366,Jiayuguan,39.8167,98.3,38.21,59,3,5.17,CN,2021-04-11 22:33:18,clear sky
367,Williston,48.147,-103.618,42.01,59,100,11.01,US,2021-04-11 22:33:19,overcast clouds
368,Sorong,-0.8833,131.25,80.06,81,71,4.18,ID,2021-04-11 22:33:19,broken clouds
369,Krasnyy Chikoy,50.3643,108.7512,20.53,54,20,5.84,RU,2021-04-11 22:33:19,few clouds
370,Labuhan,-6.8844,112.2051,77.61,86,63,4.9,ID,2021-04-11 22:33:20,broken clouds
371,Rincon,32.296,-81.2354,73.4,68,75,10.36,US,2021-04-11 22:33:20,broken clouds
372,Axim,4.8699,-2.2405,80.85,87,86,7.14,GH,2021-04-11 22:33:20,overcast clouds
