City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Takaungu,KE,78.64,light rain,-3.6837,39.8566,Takaungu House
504,Madang,PG,79.0,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
505,Brownwood,US,89.6,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
506,Shingu,JP,59.72,overcast clouds,33.7333,135.9833,Shingu UI Hotel
507,Kieta,PG,83.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
508,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
509,Kotturu,IN,76.62,clear sky,14.8167,76.2167,MYDUR SHANTHAMMA LAYOUT
510,Bandrele,YT,78.8,clear sky,-12.9067,45.1914,Les Baobabs
512,Havelock,US,66.99,overcast clouds,34.8791,-76.9013,Sherwood Motel
513,Flinders,AU,54.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
515,Delaware,US,66.99,few clouds,39.0004,-75.4999,Killens Pond State Park
517,Nizwa,OM,74.37,clear sky,22.9333,57.5333,Orient Apartments
518,Raha,IN,74.5,clear sky,26.2333,92.5167,Bishnu Rajbingshi Rent House
519,La Ciotat,FR,54.0,overcast clouds,43.1748,5.6045,ibis La Ciotat
521,Brandon,US,66.2,moderate rain,27.9378,-82.2859,Brandon Motor Lodge
522,Manono,CD,68.86,light rain,-7.3,27.4167,Hotel hewa bora
524,Creel,MX,67.87,overcast clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
525,Kapit,MY,72.63,light rain,2.0167,112.9333,Hotel Meligai Kapit
526,Tefe,BR,78.8,scattered clouds,-3.3542,-64.7114,Aracati Hotel
529,Rio Gallegos,AR,55.4,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
530,Price,US,62.6,clear sky,39.5994,-110.8107,National 9 - Price River Inn
532,Salalah,OM,80.6,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
535,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
536,Kavieng,PG,78.57,light rain,-2.5744,150.7967,Nusa Island Retreat
537,Bambanglipuro,ID,76.26,broken clouds,-7.95,110.2833,Puri Brata
